QTYPE,group0
bf16,0
iq1_bn,404
iq1_kt,0.587846
iq1_m,0.915919
iq1_s,1.337407
iq1_s_r4,1.330769
iq2_bn,404
iq2_bn_r4,404
iq2_k,0.299467
iq2_kl,0.188035
iq2_ks,0.397172
iq2_kt,0.318121
iq2_s,0.265001
iq2_xs,0.332352
iq2_xxs,0.532209
iq3_k,0.063987
iq3_ks,0.090851
iq3_kt,0.080749
iq3_s,0.076393
iq3_xxs,0.121373
iq4_k,0.018899
iq4_ks,0.024544
iq4_kss,0.034373
iq4_kt,0.028769
iq4_nl,0.026874
iq4_xs,0.027893
iq5_k,0.008270
iq5_ks,0.009556
iq6_k,0.004949
q2_K,0.268166
q3_K,0.089607
q4_0,0.037343
q4_1,0.024201
q4_K,0.024880
q5_0,0.012780
q5_1,0.010510
q5_K,0.011295
q6_0,0.006208
q6_K,0.005330
q8_0,0.003718
